Date,High
2022-06-18 00:00:00+00:00,16961.29296875
2022-06-19 00:00:00+00:00,16923.275390625
2022-06-20 00:00:00+00:00,17041.4296875
2022-06-21 00:00:00+00:00,17601.484375
2022-06-22 00:00:00+00:00,16973.197265625
2022-06-23 00:00:00+00:00,17228.900390625
2022-06-24 00:00:00+00:00,17508.1796875
2022-06-25 00:00:00+00:00,17547.314453125
2022-06-26 00:00:00+00:00,17761.599609375
2022-06-27 00:00:00+00:00,17437.544921875
2022-06-28 00:00:00+00:00,17246.931640625
2022-06-29 00:00:00+00:00,16684.658203125
2022-06-30 00:00:00+00:00,16613.35546875
2022-07-01 00:00:00+00:00,16979.34765625
2022-07-02 00:00:00+00:00,16003.09765625
2022-07-03 00:00:00+00:00,16157.45703125
2022-07-04 00:00:00+00:00,16719.078125
2022-07-05 00:00:00+00:00,17257.916015625
2022-07-06 00:00:00+00:00,17273.533203125
2022-07-07 00:00:00+00:00,18104.419921875
2022-07-08 00:00:00+00:00,18524.63671875
2022-07-09 00:00:00+00:00,18186.248046875
2022-07-10 00:00:00+00:00,17948.44921875
2022-07-11 00:00:00+00:00,17355.697265625
2022-07-12 00:00:00+00:00,16901.99609375
2022-07-13 00:00:00+00:00,17029.7109375
2022-07-14 00:00:00+00:00,17590.099609375
2022-07-15 00:00:00+00:00,17813.640625
2022-07-16 00:00:00+00:00,18128.23046875
2022-07-17 00:00:00+00:00,18221.478515625
2022-07-18 00:00:00+00:00,18879.662109375
2022-07-19 00:00:00+00:00,19722.650390625
2022-07-20 00:00:00+00:00,20203.109375
2022-07-21 00:00:00+00:00,19538.650390625
2022-07-22 00:00:00+00:00,19678.8046875
2022-07-23 00:00:00+00:00,19140.5
2022-07-24 00:00:00+00:00,19146.46484375
2022-07-25 00:00:00+00:00,18899.966796875
2022-07-26 00:00:00+00:00,17721.271484375
2022-07-27 00:00:00+00:00,18881.45703125
2022-07-28 00:00:00+00:00,19801.638671875
2022-07-29 00:00:00+00:00,19870.001953125
2022-07-30 00:00:00+00:00,20182.810546875
2022-07-31 00:00:00+00:00,19812.431640625
2022-08-01 00:00:00+00:00,19096.69921875
2022-08-02 00:00:00+00:00,19179.986328125
2022-08-03 00:00:00+00:00,19354.912109375
2022-08-04 00:00:00+00:00,19074.865234375
2022-08-05 00:00:00+00:00,19290.337890625
2022-08-06 00:00:00+00:00,19322.068359375
2022-08-07 00:00:00+00:00,19355.345703125
2022-08-08 00:00:00+00:00,19975.279296875
2022-08-09 00:00:00+00:00,19774.3359375
2022-08-10 00:00:00+00:00,19758.591796875
2022-08-11 00:00:00+00:00,20272.666015625
2022-08-12 00:00:00+00:00,20106.310546875
2022-08-13 00:00:00+00:00,20474.861328125
2022-08-14 00:00:00+00:00,20569.46484375
2022-08-15 00:00:00+00:00,20744.75390625
2022-08-16 00:00:00+00:00,20117.96875
2022-08-17 00:00:00+00:00,20156.861328125
2022-08-18 00:00:00+00:00,19557.1328125
2022-08-19 00:00:00+00:00,19456.794921875
2022-08-20 00:00:00+00:00,18048.775390625
2022-08-21 00:00:00+00:00,18317.607421875
2022-08-22 00:00:00+00:00,18201.47265625
2022-08-23 00:00:00+00:00,18239.58984375
2022-08-24 00:00:00+00:00,18466.798828125
2022-08-25 00:00:00+00:00,18410.369140625
2022-08-26 00:00:00+00:00,18377.08984375
2022-08-27 00:00:00+00:00,17337.865234375
2022-08-28 00:00:00+00:00,17140.349609375
2022-08-29 00:00:00+00:00,17380.671875
2022-08-30 00:00:00+00:00,17536.763671875
2022-08-31 00:00:00+00:00,17481.490234375
2022-09-01 00:00:00+00:00,17428.041015625
2022-09-02 00:00:00+00:00,17620.669921875
2022-09-03 00:00:00+00:00,17401.54296875
2022-09-04 00:00:00+00:00,17426.109375
2022-09-05 00:00:00+00:00,17440.330078125
2022-09-06 00:00:00+00:00,17397.3828125
2022-09-07 00:00:00+00:00,16852.373046875
2022-09-08 00:00:00+00:00,16877.40625
2022-09-09 00:00:00+00:00,18487.03125
2022-09-10 00:00:00+00:00,18768.12890625
2022-09-11 00:00:00+00:00,18735.32421875
2022-09-12 00:00:00+00:00,19167.166015625
2022-09-13 00:00:00+00:00,19339.33984375
2022-09-14 00:00:00+00:00,17787.369140625
2022-09-15 00:00:00+00:00,17630.376953125
2022-09-16 00:00:00+00:00,17433.060546875
2022-09-17 00:00:00+00:00,17663.990234375
2022-09-18 00:00:00+00:00,17633.06640625
2022-09-19 00:00:00+00:00,17171.837890625
2022-09-20 00:00:00+00:00,17111.259765625
2022-09-21 00:00:00+00:00,17374.82421875
2022-09-22 00:00:00+00:00,17281.23828125
2022-09-23 00:00:00+00:00,17327.12109375
2022-09-24 00:00:00+00:00,17783.494140625
2022-09-25 00:00:00+00:00,17621.90234375
2022-09-26 00:00:00+00:00,17884.7109375
2022-09-27 00:00:00+00:00,18856.716796875
2022-09-28 00:00:00+00:00,18085.595703125
2022-09-29 00:00:00+00:00,18123.185546875
2022-09-30 00:00:00+00:00,18000.326171875
2022-10-01 00:00:00+00:00,17462.919921875
2022-10-02 00:00:00+00:00,17372.474609375
2022-10-03 00:00:00+00:00,17351.3671875
2022-10-04 00:00:00+00:00,17760.451171875
2022-10-05 00:00:00+00:00,17766.58203125
2022-10-06 00:00:00+00:00,17968.58984375
2022-10-07 00:00:00+00:00,17912.841796875
