Date,Open,High,Low,Close,Volume,Crypto
2022-05-09 00:00:00+00:00,27633.435546875,27818.541015625,24559.28515625,24559.28515625,51357167970,BTC-GBP
2022-05-10 00:00:00+00:00,24540.3984375,26377.583984375,24287.15234375,25207.134765625,48598442803,BTC-GBP
2022-05-11 00:00:00+00:00,25201.671875,25886.740234375,23003.5078125,23653.09765625,57537117745,BTC-GBP
2022-05-12 00:00:00+00:00,23653.40625,24521.15625,21615.9140625,23801.814453125,54891129547,BTC-GBP
2022-05-13 00:00:00+00:00,23788.015625,25323.392578125,23579.232421875,23881.66015625,34938822070,BTC-GBP
2022-05-14 00:00:00+00:00,23883.73046875,24617.037109375,23402.28515625,24542.40625,23301967122,BTC-GBP
2022-05-15 00:00:00+00:00,24540.220703125,25542.068359375,24074.79296875,25539.556640625,21077194085,BTC-GBP
2022-05-16 00:00:00+00:00,25538.953125,25539.744140625,23828.908203125,24229.0703125,26461057266,BTC-GBP
2022-05-17 00:00:00+00:00,24228.65625,24641.814453125,23735.3125,24365.57421875,23304983786,BTC-GBP
2022-05-18 00:00:00+00:00,24364.470703125,24509.578125,23265.861328125,23265.861328125,25343726586,BTC-GBP
2022-05-19 00:00:00+00:00,23265.931640625,24319.25390625,23251.125,24323.130859375,27098598596,BTC-GBP
2022-05-20 00:00:00+00:00,24320.55078125,24598.921875,23099.9296875,23375.017578125,24614696279,BTC-GBP
2022-05-21 00:00:00+00:00,23374.3125,23692.90234375,23243.30859375,23567.47265625,13832603911,BTC-GBP
2022-05-22 00:00:00+00:00,23567.669921875,24325.26171875,23441.72265625,24252.791015625,17300812983,BTC-GBP
2022-05-23 00:00:00+00:00,24241.333984375,24358.51953125,23047.56640625,23155.107421875,25052581162,BTC-GBP
2022-05-24 00:00:00+00:00,23156.87109375,23734.984375,23012.576171875,23645.64453125,21222458322,BTC-GBP
2022-05-25 00:00:00+00:00,23643.689453125,24058.462890625,23534.876953125,23488.064453125,21869378643,BTC-GBP
