Date,ATOM-GBP,BTC-GBP,XMR-GBP,USDT-GBP
2022-04-30 00:00:00+00:00,14.221138954162598,29995.544921875,170.72628784179688,0.7954469919204712
2022-05-01 00:00:00+00:00,14.341957092285156,30606.318359375,169.2012481689453,0.7956979870796204
2022-05-02 00:00:00+00:00,14.25088596343994,30824.271484375,158.93789672851562,0.7999849915504456
2022-05-03 00:00:00+00:00,14.076407432556152,30203.759765625,166.05149841308594,0.8001260161399841
2022-05-04 00:00:00+00:00,15.754220962524414,31464.5703125,178.4769744873047,0.7926210165023804
2022-05-05 00:00:00+00:00,14.44153881072998,29585.669921875,167.13705444335938,0.808892011642456
2022-05-06 00:00:00+00:00,14.32320499420166,29207.779296875,175.8627471923828,0.8103920221328735
2022-05-07 00:00:00+00:00,13.35224723815918,28770.99609375,165.48794555664062,0.810342013835907
2022-05-08 00:00:00+00:00,12.735511779785156,27632.826171875,176.24942016601562,0.8111979961395264
2022-05-09 00:00:00+00:00,10.379953384399414,24559.28515625,142.1431884765625,0.810545027256012
2022-05-10 00:00:00+00:00,11.05373477935791,25207.134765625,132.4078826904297,0.8123630285263062
2022-05-11 00:00:00+00:00,8.768548965454102,23653.09765625,113.41360473632812,0.8140439987182617
2022-05-12 00:00:00+00:00,7.955850124359131,23801.814453125,112.98416137695312,0.8174440264701843
2022-05-13 00:00:00+00:00,8.411150932312012,23881.66015625,117.39353942871094,0.8141080141067505
2022-05-14 00:00:00+00:00,8.8256196975708,24542.40625,125.86261749267578,0.8143330216407776
2022-05-15 00:00:00+00:00,10.077556610107422,25539.556640625,140.06068420410156,0.8150669932365417
2022-05-16 00:00:00+00:00,8.939102172851562,24229.0703125,131.6209259033203,0.8103520274162292
2022-05-17 00:00:00+00:00,9.191864967346191,24365.57421875,138.4360809326172,0.7999439835548401
2022-05-18 00:00:00+00:00,8.215645790100098,23265.861328125,125.82854461669922,0.8091149926185608
2022-05-19 00:00:00+00:00,8.714189529418945,24323.130859375,133.04754638671875,0.8015390038490295
2022-05-20 00:00:00+00:00,8.970157623291016,23375.017578125,139.46409606933594,0.7995479702949524
2022-05-21 00:00:00+00:00,8.849724769592285,23567.47265625,140.92462158203125,0.7997710108757019
2022-05-22 00:00:00+00:00,9.137565612792969,24252.791015625,149.69021606445312,0.7990490198135376
2022-05-23 00:00:00+00:00,8.858790397644043,23155.107421875,147.35659790039062,0.7950119972229004
2022-05-24 00:00:00+00:00,8.836249351501465,23645.64453125,153.96128845214844,0.7966300249099731
2022-05-25 00:00:00+00:00,8.533064842224121,23488.064453125,162.01611328125,0.7937120199203491
2022-05-26 00:00:00+00:00,7.643126010894775,23195.97265625,150.2195587158203,0.7916920185089111
2022-05-27 00:00:00+00:00,7.326344013214111,22667.943359375,142.8040771484375,0.7909219861030579
2022-05-28 00:00:00+00:00,7.454661846160889,22816.271484375,142.755126953125,0.7910640239715576
2022-05-29 00:00:00+00:00,7.595413208007812,23324.3203125,147.38931274414062,0.7914549708366394
2022-05-30 00:00:00+00:00,8.328213691711426,25088.564453125,161.484375,0.7902849912643433
2022-05-31 00:00:00+00:00,8.15714168548584,25212.828125,157.4516143798828,0.7925630211830139
2022-06-01 00:00:00+00:00,7.502334117889404,23873.623046875,159.12774658203125,0.8005599975585938
2022-06-02 00:00:00+00:00,7.6597371101379395,24222.169921875,160.11273193359375,0.7944740056991577
2022-06-03 00:00:00+00:00,7.353713989257812,23785.404296875,155.32322692871094,0.8000720143318176
2022-06-04 00:00:00+00:00,7.394667148590088,23888.318359375,151.44525146484375,0.8001869916915894
2022-06-05 00:00:00+00:00,7.354788780212402,23942.5546875,150.4955596923828,0.80001300573349
2022-06-06 00:00:00+00:00,7.5723700523376465,25049.29296875,151.3242950439453,0.7979440093040466
2022-06-07 00:00:00+00:00,7.3303961753845215,24751.001953125,149.01034545898438,0.7939689755439758
2022-06-08 00:00:00+00:00,6.988570213317871,24093.44140625,148.67164611816406,0.7968289852142334
2022-06-09 00:00:00+00:00,7.03368616104126,24103.87109375,148.39175415039062,0.7999250292778015
2022-06-10 00:00:00+00:00,6.5747551918029785,23616.572265625,141.19070434570312,0.811352014541626
2022-06-11 00:00:00+00:00,6.115474224090576,23026.681640625,134.8557891845703,0.8111270070075989
2022-06-12 00:00:00+00:00,5.817728042602539,21800.80078125,129.55459594726562,0.8138480186462402
2022-06-13 00:00:00+00:00,5.317844867706299,18519.78125,108.7877197265625,0.8224049806594849
2022-06-14 00:00:00+00:00,5.301750183105469,18488.021484375,99.30866241455078,0.8316680192947388
2022-06-15 00:00:00+00:00,5.984378814697266,18542.255859375,96.930908203125,0.820572018623352
2022-06-16 00:00:00+00:00,5.119870185852051,16502.330078125,86.18147277832031,0.8087999820709229
2022-06-17 00:00:00+00:00,5.23092794418335,16752.44921875,93.54464721679688,0.8175420165061951
2022-06-18 00:00:00+00:00,4.9754180908203125,15555.708984375,85.21781921386719,0.8168709874153137
2022-06-19 00:00:00+00:00,5.537186145782471,16808.322265625,93.4058609008789,0.8169500231742859
2022-06-20 00:00:00+00:00,5.560461044311523,16814.578125,95.74535369873048,0.8154090046882629
2022-06-21 00:00:00+00:00,5.649730205535889,16887.005859375,96.86492156982422,0.814640998840332
2022-06-22 00:00:00+00:00,5.774590969085693,16314.072265625,90.74470520019533,0.8154950141906738
2022-06-23 00:00:00+00:00,6.641846179962158,17198.84375,100.0781707763672,0.8150690197944641
2022-06-24 00:00:00+00:00,6.750265121459961,17311.46484375,103.11470794677734,0.8148109912872314
