Date,Open
2022-02-21 00:00:00+00:00,28270.22265625
2022-02-22 00:00:00+00:00,27266.23046875
2022-02-23 00:00:00+00:00,28174.828125
2022-02-24 00:00:00+00:00,27521.9453125
2022-02-25 00:00:00+00:00,28668.0078125
2022-02-26 00:00:00+00:00,29247.1171875
2022-02-27 00:00:00+00:00,29161.802734375
2022-02-28 00:00:00+00:00,28197.453125
2022-03-01 00:00:00+00:00,32181.67578125
2022-03-02 00:00:00+00:00,33262.4453125
2022-03-03 00:00:00+00:00,32788.26953125
2022-03-04 00:00:00+00:00,31802.548828125
2022-03-05 00:00:00+00:00,29596.267578125
2022-03-06 00:00:00+00:00,29789.61328125
2022-03-07 00:00:00+00:00,29087.216796875
2022-03-08 00:00:00+00:00,29023.037109375
2022-03-09 00:00:00+00:00,29577.77734375
2022-03-10 00:00:00+00:00,31834.939453125
2022-03-11 00:00:00+00:00,30100.939453125
2022-03-12 00:00:00+00:00,29774.90625
2022-03-13 00:00:00+00:00,29822.990234375
2022-03-14 00:00:00+00:00,29001.896484375
2022-03-15 00:00:00+00:00,30488.083984375
2022-03-16 00:00:00+00:00,30155.47265625
2022-03-17 00:00:00+00:00,31307.9765625
2022-03-18 00:00:00+00:00,31116.5234375
2022-03-19 00:00:00+00:00,31708.26171875
2022-03-20 00:00:00+00:00,32009.26953125
2022-03-21 00:00:00+00:00,31343.01953125
2022-03-22 00:00:00+00:00,31189.45703125
2022-03-23 00:00:00+00:00,31934.2265625
2022-03-24 00:00:00+00:00,32476.046875
2022-03-25 00:00:00+00:00,33320.94921875
2022-03-26 00:00:00+00:00,33623.84375
2022-03-27 00:00:00+00:00,33740.4453125
2022-03-28 00:00:00+00:00,35543.44921875
2022-03-29 00:00:00+00:00,35956.14453125
2022-03-30 00:00:00+00:00,36246.10546875
2022-03-31 00:00:00+00:00,35822.53125
2022-04-01 00:00:00+00:00,34651.73046875
2022-04-02 00:00:00+00:00,35295.0078125
2022-04-03 00:00:00+00:00,34968.2734375
2022-04-04 00:00:00+00:00,35441.828125
2022-04-05 00:00:00+00:00,35556.6875
2022-04-06 00:00:00+00:00,34828.1796875
2022-04-07 00:00:00+00:00,33060.26171875
2022-04-08 00:00:00+00:00,33288.609375
2022-04-09 00:00:00+00:00,32436.359375
2022-04-10 00:00:00+00:00,32819.171875
2022-04-11 00:00:00+00:00,32387.609375
2022-04-12 00:00:00+00:00,30357.1875
2022-04-13 00:00:00+00:00,30858.998046875
2022-04-14 00:00:00+00:00,31375.03515625
2022-04-15 00:00:00+00:00,30565.345703125
2022-04-16 00:00:00+00:00,31050.787109375
2022-04-17 00:00:00+00:00,30947.76953125
2022-04-18 00:00:00+00:00,30423.462890625
2022-04-19 00:00:00+00:00,31384.0859375
2022-04-20 00:00:00+00:00,31892.513671875
2022-04-21 00:00:00+00:00,31661.08203125
2022-04-22 00:00:00+00:00,31115.068359375
2022-04-23 00:00:00+00:00,30950.384765625
2022-04-24 00:00:00+00:00,30747.61328125
2022-04-25 00:00:00+00:00,30769.845703125
2022-04-26 00:00:00+00:00,31754.27734375
2022-04-27 00:00:00+00:00,30298.359375
2022-04-28 00:00:00+00:00,31293.4296875
2022-04-29 00:00:00+00:00,31904.37109375
2022-04-30 00:00:00+00:00,30721.615234375
2022-05-01 00:00:00+00:00,29994.265625
2022-05-02 00:00:00+00:00,30608.779296875
2022-05-03 00:00:00+00:00,30823.296875
2022-05-04 00:00:00+00:00,30201.806640625
2022-05-05 00:00:00+00:00,31462.4921875
2022-05-06 00:00:00+00:00,29584.083984375
2022-05-07 00:00:00+00:00,29209.060546875
2022-05-08 00:00:00+00:00,28771.794921875
2022-05-09 00:00:00+00:00,27633.435546875
2022-05-10 00:00:00+00:00,24540.3984375
2022-05-11 00:00:00+00:00,25201.671875
2022-05-12 00:00:00+00:00,23653.40625
2022-05-13 00:00:00+00:00,23788.015625
2022-05-14 00:00:00+00:00,23883.73046875
2022-05-15 00:00:00+00:00,24540.220703125
2022-05-16 00:00:00+00:00,25538.953125
2022-05-17 00:00:00+00:00,24228.65625
2022-05-18 00:00:00+00:00,24364.470703125
2022-05-19 00:00:00+00:00,23265.931640625
2022-05-20 00:00:00+00:00,24320.55078125
2022-05-21 00:00:00+00:00,23374.3125
2022-05-22 00:00:00+00:00,23567.669921875
2022-05-23 00:00:00+00:00,24241.333984375
2022-05-24 00:00:00+00:00,23156.87109375
2022-05-25 00:00:00+00:00,23643.689453125
2022-05-26 00:00:00+00:00,23489.984375
2022-05-27 00:00:00+00:00,23183.2265625
2022-05-28 00:00:00+00:00,22664.0234375
2022-05-29 00:00:00+00:00,22978.5703125
2022-05-30 00:00:00+00:00,23322.267578125
2022-05-31 00:00:00+00:00,25086.56640625
2022-06-01 00:00:00+00:00,25213.021484375
2022-06-02 00:00:00+00:00,23870.265625
2022-06-03 00:00:00+00:00,24222.423828125
2022-06-04 00:00:00+00:00,23786.8046875
2022-06-05 00:00:00+00:00,23890.08203125
2022-06-06 00:00:00+00:00,23945.455078125
2022-06-07 00:00:00+00:00,25050.146484375
2022-06-08 00:00:00+00:00,24747.826171875
2022-06-09 00:00:00+00:00,24094.177734375
2022-06-10 00:00:00+00:00,24102.53515625
2022-06-11 00:00:00+00:00,23617.2734375
2022-06-12 00:00:00+00:00,23036.99609375
2022-06-13 00:00:00+00:00,21780.376953125
2022-06-14 00:00:00+00:00,18520.2734375
2022-06-15 00:00:00+00:00,18479.642578125
2022-06-16 00:00:00+00:00,18545.103515625
2022-06-17 00:00:00+00:00,16505.623046875
2022-06-18 00:00:00+00:00,16754.0390625
2022-06-19 00:00:00+00:00,15550.1953125
2022-06-20 00:00:00+00:00,16808.40234375
2022-06-21 00:00:00+00:00,16810.298828125
2022-06-22 00:00:00+00:00,16894.1953125
2022-06-23 00:00:00+00:00,16313.728515625
2022-06-24 00:00:00+00:00,17197.83984375
2022-06-25 00:00:00+00:00,17313.056640625
2022-06-26 00:00:00+00:00,17527.404296875
2022-06-27 00:00:00+00:00,17120.224609375
2022-06-28 00:00:00+00:00,16901.080078125
2022-06-29 00:00:00+00:00,16640.537109375
2022-06-30 00:00:00+00:00,16578.6796875
