Date,Low
2022-06-18 00:00:00+00:00,14484.9814453125
2022-06-19 00:00:00+00:00,14778.244140625
2022-06-20 00:00:00+00:00,16136.59375
2022-06-21 00:00:00+00:00,16631.84375
2022-06-22 00:00:00+00:00,16184.0244140625
2022-06-23 00:00:00+00:00,16284.9609375
2022-06-24 00:00:00+00:00,16942.626953125
2022-06-25 00:00:00+00:00,17093.705078125
2022-06-26 00:00:00+00:00,17104.615234375
2022-06-27 00:00:00+00:00,16800.69921875
2022-06-28 00:00:00+00:00,16597.03125
2022-06-29 00:00:00+00:00,16387.548828125
2022-06-30 00:00:00+00:00,15379.9130859375
2022-07-01 00:00:00+00:00,15820.4013671875
2022-07-02 00:00:00+00:00,15718.3671875
2022-07-03 00:00:00+00:00,15668.6923828125
2022-07-04 00:00:00+00:00,15761.8388671875
2022-07-05 00:00:00+00:00,16204.7236328125
2022-07-06 00:00:00+00:00,16567.3203125
2022-07-07 00:00:00+00:00,16991.998046875
2022-07-08 00:00:00+00:00,17736.58203125
2022-07-09 00:00:00+00:00,17827.80859375
2022-07-10 00:00:00+00:00,17230.25
2022-07-11 00:00:00+00:00,16746.3359375
2022-07-12 00:00:00+00:00,16255.91015625
2022-07-13 00:00:00+00:00,16020.3046875
2022-07-14 00:00:00+00:00,16733.271484375
2022-07-15 00:00:00+00:00,17234.83203125
2022-07-16 00:00:00+00:00,17291.31640625
2022-07-17 00:00:00+00:00,17475.072265625
2022-07-18 00:00:00+00:00,17478.2109375
2022-07-19 00:00:00+00:00,18108.181640625
2022-07-20 00:00:00+00:00,19151.06640625
2022-07-21 00:00:00+00:00,18807.779296875
2022-07-22 00:00:00+00:00,18830.294921875
2022-07-23 00:00:00+00:00,18328.88671875
2022-07-24 00:00:00+00:00,18582.06640625
2022-07-25 00:00:00+00:00,17721.705078125
2022-07-26 00:00:00+00:00,17273.865234375
2022-07-27 00:00:00+00:00,17487.86328125
2022-07-28 00:00:00+00:00,18728.576171875
2022-07-29 00:00:00+00:00,19412.70703125
2022-07-30 00:00:00+00:00,19367.96875
2022-07-31 00:00:00+00:00,19124.0390625
2022-08-01 00:00:00+00:00,18696.46875
2022-08-02 00:00:00+00:00,18591.74609375
2022-08-03 00:00:00+00:00,18718.6484375
2022-08-04 00:00:00+00:00,18480.27734375
2022-08-05 00:00:00+00:00,18610.02734375
2022-08-06 00:00:00+00:00,19019.494140625
2022-08-07 00:00:00+00:00,18964.224609375
2022-08-08 00:00:00+00:00,19219.685546875
2022-08-09 00:00:00+00:00,18976.099609375
2022-08-10 00:00:00+00:00,18870.28125
2022-08-11 00:00:00+00:00,19596.619140625
2022-08-12 00:00:00+00:00,19493.634765625
2022-08-13 00:00:00+00:00,20051.58203125
2022-08-14 00:00:00+00:00,19936.396484375
2022-08-15 00:00:00+00:00,19775.427734375
2022-08-16 00:00:00+00:00,19611.75
2022-08-17 00:00:00+00:00,19290.984375
2022-08-18 00:00:00+00:00,19420.90625
2022-08-19 00:00:00+00:00,17642.62890625
2022-08-20 00:00:00+00:00,17631.11328125
2022-08-21 00:00:00+00:00,17839.4609375
2022-08-22 00:00:00+00:00,17752.763671875
2022-08-23 00:00:00+00:00,17846.380859375
2022-08-24 00:00:00+00:00,17954.458984375
2022-08-25 00:00:00+00:00,18098.23828125
2022-08-26 00:00:00+00:00,17215.796875
2022-08-27 00:00:00+00:00,16928.82421875
2022-08-28 00:00:00+00:00,16780.8515625
2022-08-29 00:00:00+00:00,16762.4140625
2022-08-30 00:00:00+00:00,16838.095703125
2022-08-31 00:00:00+00:00,16983.388671875
2022-09-01 00:00:00+00:00,17029.869140625
2022-09-02 00:00:00+00:00,17214.96875
2022-09-03 00:00:00+00:00,17107.4296875
2022-09-04 00:00:00+00:00,17053.986328125
2022-09-05 00:00:00+00:00,17115.92578125
2022-09-06 00:00:00+00:00,16321.275390625
2022-09-07 00:00:00+00:00,16253.630859375
2022-09-08 00:00:00+00:00,16635.962890625
2022-09-09 00:00:00+00:00,16763.09375
2022-09-10 00:00:00+00:00,18257.916015625
2022-09-11 00:00:00+00:00,18463.3828125
2022-09-12 00:00:00+00:00,18611.04296875
2022-09-13 00:00:00+00:00,17456.228515625
2022-09-14 00:00:00+00:00,17141.517578125
2022-09-15 00:00:00+00:00,17081.033203125
2022-09-16 00:00:00+00:00,17016.931640625
2022-09-17 00:00:00+00:00,17326.244140625
2022-09-18 00:00:00+00:00,16977.8984375
2022-09-19 00:00:00+00:00,16142.359375
2022-09-20 00:00:00+00:00,16558.0234375
2022-09-21 00:00:00+00:00,16226.1435546875
2022-09-22 00:00:00+00:00,16401.791015625
2022-09-23 00:00:00+00:00,16985.146484375
2022-09-24 00:00:00+00:00,17370.708984375
2022-09-25 00:00:00+00:00,17305.33984375
2022-09-26 00:00:00+00:00,17571.966796875
2022-09-27 00:00:00+00:00,17695.154296875
2022-09-28 00:00:00+00:00,17418.484375
2022-09-29 00:00:00+00:00,17278.3515625
2022-09-30 00:00:00+00:00,17381.654296875
2022-10-01 00:00:00+00:00,17247.607421875
2022-10-02 00:00:00+00:00,17030.533203125
2022-10-03 00:00:00+00:00,17109.65234375
2022-10-04 00:00:00+00:00,17302.14453125
2022-10-05 00:00:00+00:00,17565.603515625
2022-10-06 00:00:00+00:00,17831.892578125
2022-10-07 00:00:00+00:00,17478.595703125
2022-10-08 00:00:00+00:00,17408.033203125
2022-10-09 00:00:00+00:00,17452.9921875
2022-10-10 00:00:00+00:00,17271.1953125
2022-10-11 00:00:00+00:00,17121.8984375
2022-10-12 00:00:00+00:00,17238.505859375
2022-10-13 00:00:00+00:00,16413.8828125
2022-10-14 00:00:00+00:00,17097.31640625
2022-10-15 00:00:00+00:00,17024.796875
2022-10-16 00:00:00+00:00,17069.251953125
2022-10-17 00:00:00+00:00,17085.703125
2022-10-18 00:00:00+00:00,16927.154296875
2022-10-19 00:00:00+00:00,17064.517578125
2022-10-20 00:00:00+00:00,16931.36328125
2022-10-21 00:00:00+00:00,16938.7734375
2022-10-22 00:00:00+00:00,16924.458984375
2022-10-23 00:00:00+00:00,16917.341796875
2022-10-24 00:00:00+00:00,17002.744140625
2022-10-25 00:00:00+00:00,17014.310546875
2022-10-26 00:00:00+00:00,17533.87890625
2022-10-27 00:00:00+00:00,17506.578125
2022-10-28 00:00:00+00:00,17449.83203125
2022-10-29 00:00:00+00:00,17709.12109375
2022-10-30 00:00:00+00:00,17720.173828125
2022-10-31 00:00:00+00:00,17659.625
2022-11-01 00:00:00+00:00,17705.857421875
2022-11-02 00:00:00+00:00,17641.04296875
2022-11-03 00:00:00+00:00,17963.125
